Cohort,variable,smd_unadjusted,smd_adjusted,var_ratio_unadj,var_ratio_adj
All of Us,distance,0.3227984568944305,0.001466305127115,1.898683174272088,1.012484449187398
All of Us,enrollment_days,0.0023969480628723,0.0838056215686659,1.0067095975382732,0.9891304121512046
All of Us,n_diagnoses,0.3009352933143953,0.0030007041287224,1.4945221357321097,0.8962528857455843
All of Us,ehr_length_days,-0.0251892615259701,-0.0695858747871143,1.0660563983417854,1.059914955389058
INPC,distance,0.2966099396210397,0.0012197449726661,1.1805209276078923,1.008310776693852
INPC,enrollment_days,-0.0040582776448398,-0.0168435021976437,1.054426613921291,0.9619255627260902
INPC,n_diagnoses,0.1833227983137081,0.0155854264917195,1.1550650126913553,0.9021896078616902
INPC,ehr_length_days,-0.1350986369484643,0.0185881565376472,1.021241151784755,1.0063290307722004
