variable,coef,exp_coef,se,z,p,lower95,upper95,model
f.sexFemale,-0.7649485319700973,0.46535788141132317,0.6248300785676475,-1.2242504933879872,0.22085774642639297,0.13675107421102792,1.5835923705977832,S2_KDIGO2
f.sexOther,-19.719897229957795,2.72745409182513e-9,25080.107007483562,-7.862764390946835e-4,0.9993726422333653,0,Inf,S2_KDIGO2
f.age18-44,1.305040420662161,3.687838155552597,1.0466335597105947,1.2468933453872992,0.21243660710730158,0.47410632818325144,28.685865286094337,S2_KDIGO2
f.age45-54,-1.2354731332004647,0.2906971913332044,1.2827308238863475,-0.9631585288153409,0.3354679733928799,0.023527640679677355,3.5917267778577995,S2_KDIGO2
f.age65-74,-0.8591283907067148,0.4235310751066745,0.7174975811554773,-1.1973955219795325,0.23115242823741994,0.10378873825743322,1.7283047717189939,S2_KDIGO2
f.age75+,-1.0755876613072834,0.3410972467372733,0.892497962141885,-1.2051429884792182,0.2281481068031307,0.059317463432066925,1.9614347107912762,S2_KDIGO2
f.raceBlack,0.7770995836482297,2.1751542545287235,1.1912693757402169,0.6523290193415446,0.5141889433918034,0.21061035979392892,22.464688041099826,S2_KDIGO2
f.raceAsian,-18.79417191716056,6.8832706198919746e-9,16509.293021676927,-0.0011383995603254213,0.9990916887629798,0,Inf,S2_KDIGO2
f.raceHispanic,NA,NA,0,NA,NA,NA,NA,S2_KDIGO2
f.raceAIAN,-19.805085841215313,2.504727624100831e-9,16091.451819250186,-0.0012307830308712425,0.9990179774699021,0,Inf,S2_KDIGO2
f.raceNative_Hawaiian_PI,NA,NA,0,NA,NA,NA,NA,S2_KDIGO2
f.raceOther,-1.9976596601302758,0.13565238471363103,1.6078702289236748,-1.2424259272886284,0.21407945447148177,0.005805047968059278,3.1699254820536638,S2_KDIGO2
f.ethnicityHispanic,2.153118049551509,8.61166818645779,1.6199754499777255,1.3291053574800251,0.18381321300644823,0.3598832922654313,206.06910781218488,S2_KDIGO2
f.ethnicityUnknown,1.3714325565099017,3.9409923477560445,2.1874774421272436,0.6269470624466109,0.5306939363392675,0.05415286236244115,286.80701273223633,S2_KDIGO2
f.cancerMelanoma,-0.9068753682206728,0.40378393105138016,1.1213892351958992,-0.8087070392308945,0.4186836782227028,0.044835372702465744,3.6364471431356957,S2_KDIGO2
f.cancerOther,-0.730239174821834,0.481793743375963,0.6660869747094281,-1.0963120471472834,0.2729422390738871,0.13058307616153741,1.7776056283822983,S2_KDIGO2
f.icianti_pdl1,0.3657516764559398,1.441597215673388,0.6981466626749517,0.523889457631382,0.600355427760493,0.3669276320252368,5.663794031446313,S2_KDIGO2
f.icictla4_containing,0.05576341397225562,1.0573475004977606,0.7594960216275819,0.07342160114644966,0.9414706287547908,0.23863467933146698,4.684917296768784,S2_KDIGO2
nci_cci_score,0.09077222319902611,1.0950195567986063,0.11829002129810857,0.7673700807802419,0.4428615120147663,0.8684268189527593,1.380735605583184,S2_KDIGO2
ppi,-0.26531539876253685,0.766964012324046,0.7035153117337672,-0.3771281084255074,0.7060784032916886,0.19317088403115007,3.04514730131557,S2_KDIGO2
nsaid,0.8221915295595494,2.275481161406876,0.6958401200630788,1.1815810929168855,0.237371959280542,0.5817991204115268,8.899660268058048,S2_KDIGO2
acei_arb,-0.8646998413195109,0.4211779538750425,0.9391510839258548,-0.9207249569524836,0.35719404292898854,0.06684343789680006,2.6538262305455045,S2_KDIGO2
diuretic,1.1471081517176394,3.149073087874636,0.6745204109609727,1.7006277839441248,0.08901290351303981,0.8395178327321442,11.812329561247449,S2_KDIGO2
