model,exp_coef,lower95,upper95,p
S1_delta_0.3,1.3494519657139996,0.9730759625061238,1.8714064245091426,0.07243553503952341
S2_KDIGO2,1.227119560200995,0.7363157509389019,2.045077010926028,0.432231067912215
S3_KDIGO3,1.6796826766460575,0.8265896475973508,3.4132219081446755,0.15170647457621986
S4_180day,1.1921690860971133,0.7877840012466537,1.804133020722047,0.40566903433397444
S5_mono_ICI,1.2451731732931979,0.7619681561866823,2.034804497931263,0.38153417759535024
